,이름,PIP,이름,LSO,이름,Go/Fo,이름,Qs%,득점지원,이름,구원방어율,Rel%,WPA
217,,,,,,,양창섭,,0.00,이상동,8.53,33.3,-0.28
218,,,,,,,최동환,,0.00,박재민,16.88,0.0,-0.03
219,,,,,,,이상동,,0.00,김유영,7.23,41.7,-0.12
220,,,,,,,박재민,,0.00,김태현,11.81,66.7,-0.04
221,,,,,,,김유영,,0.00,이종민,23.14,,-0.01
222,,,,,,,김태현,,0.00,한승혁,13.50,42.9,-0.21
223,,,,,,,이종민,,0.00,이인복,7.32,50.0,-0.27
224,,,,,,,한승혁,,0.00,김창훈,11.25,20.0,0.10
225,,,,,,,김창훈,,0.00,김기탁,5.84,31.3,-0.31
226,,,,,,,김기탁,,0.00,소이현,6.75,100.0,-0.21
227,,,,,,,소이현,,0.00,이교훈,10.80,28.6,-0.06
228,,,,,,,이교훈,,0.00,박진형,7.88,36.4,-0.44
229,,,,,,,박진형,,0.00,김정인,12.71,0.0,-0.09
230,,,,,,,한차현,,0.00,한차현,19.64,,0.00
231,,,,,,,박준표,,0.00,박준표,5.91,43.8,-1.48
232,,,,,,,장원준,,0.00,현도훈,18.90,0.0,-0.04
233,,,,,,,김대현,,0.00,정수민,18.00,100.0,-0.23
234,,,,,,,고영창,,0.00,장원준,6.75,17.9,-0.30
235,,,,,,,김성진,,0.00,나균안,6.75,33.3,-0.29
236,,,,,,,서덕원,,0.00,조영우,6.60,11.1,-0.15
237,,,,,,,정우람,,0.00,김대현,12.27,25.0,-0.06
238,,,,,,,박관진,,0.00,고영창,5.79,37.5,-0.44
239,,,,,,,이승재,,0.00,김성진,5.31,53.3,-1.01
240,,,,,,,이충호,,0.00,서덕원,7.44,75.0,-0.82
241,,,,,,,이강준,,0.00,정우람,5.64,21.4,-1.27
242,,,,,,,장필준,,0.00,김윤수,6.62,200.0,-0.53
243,,,,,,,이승현,,0.00,이승관,17.36,100.0,-0.07
244,,,,,,,오주원,,0.00,박관진,81.00,,-0.05
245,,,,,,,임준섭,,0.00,남재현,22.85,0.0,0.01
246,,,,,,,이보근,,0.00,이승재,7.50,33.3,-0.49
247,,,,,,,송재영,,0.00,이충호,7.71,37.5,-0.39
248,,,,,,,김진성,,0.00,이강준,10.80,50.0,-0.30
249,,,,,,,신정락,,0.00,장필준,7.27,54.6,-0.68
250,,,,,,,김윤수,0.0,0.00,이승현,9.53,60.0,-0.49
251,,,,,,,김태경,0.0,8.10,김선기,8.79,60.0,-1.25
252,,,,,,,정수민,0.0,4.61,오주원,9.82,40.0,-0.89
253,,,,,,,김범수,0.0,0.00,임준섭,10.97,25.0,-0.23
254,,,,,,,한승혁,0.0,3.15,이보근,15.30,12.5,-0.84
255,,,,,,,함덕주,0.0,5.40,송재영,13.50,33.3,-0.48
256,,,,,,,차우찬,20.0,9.27,김진성,7.17,41.7,-1.25
257,,,,,,,스미스,50.0,9.90,신정락,8.55,37.5,-0.78
258,,,,,,,김민규,0.0,6.26,미란다,,,0.00
259,,,,,,,김명신,0.0,27.00,백정현,,,0.00
260,,,,,,,김동혁,12.5,3.22,켈리,,,0.00
261,,,,,,,김정인,0.0,5.19,원태인,,,0.00
262,,,,,,,남지민,0.0,1.23,요키시,,,0.00
263,,,,,,,김건우,0.0,1.29,뷰캐넌,,,0.00
264,,,,,,,이정현,0.0,1.50,루친스키,,,0.00
265,,,,,,,정인욱,0.0,4.50,최원준,,,0.00
266,,,,,,,현도훈,0.0,1.69,로켓,,,0.00
267,,,,,,,김진호,0.0,0.00,박세웅,,,0.00
268,,,,,,,양선률,0.0,0.00,데스파이네,,,0.00
269,,,,,,,차명진,0.0,3.72,파슨스,,,0.00
270,,,,,,,강윤구,0.0,0.00,킹엄,,,0.00
271,,,,,,,조병현,0.0,1.35,멩덴,,,0.00
272,,,,,,,이준영,0.0,0.00,스트레일리,,,0.00
273,,,,,,,최승용,0.0,9.82,폰트,,,0.00
274,,,,,,,신재영,0.0,13.50,배제성,,,0.00
275,,,,,,,허윤동,0.0,2.46,안우진,,,0.00
276,,,,,,,박주홍,0.0,0.00,이의리,,,0.00
277,,,,,,,배동현,0.0,2.57,브룩스,,,0.00
278,,,,,,,구준범,0.0,13.50,임기영,,,0.00
279,,,,,,,이승헌,8.3,4.44,쿠에바스,,,0.00
280,,,,,,,이우찬,0.0,9.45,정찬헌,,,0.00
281,,,,,,,강동연,0.0,6.35,박종훈,,,0.00
282,,,,,,,최용준,0.0,5.06,브리검,,,0.00
283,,,,,,,조제영,0.0,0.00,임찬규,,,0.00
284,,,,,,,장재영,0.0,7.71,곽빈,,,0.00
285,,,,,,,최민준,8.3,4.77,문승원,,,0.00
286,,,,,,,김영규,12.5,6.12,소형준,,,0.00
287,,,,,,,박정수,0.0,8.76,라이블리,,,0.00
288,,,,,,,김대우,0.0,9.00,최원태,,,0.00
289,,,,,,,박종기,0.0,0.92,이재학,,,0.00
290,,,,,,,손주영,16.7,7.30,다카하시,,,0.00
291,,,,,,,김이환,0.0,13.91,르위키,,,0.00
292,,,,,,,김윤식,0.0,0.00,몽고메리,,,0.00
293,,,,,,,서준원,0.0,4.94,이재희,,,0.00
294,,,,,,,이건욱,0.0,2.46,송명기,,,0.00
295,,,,,,,이승관,0.0,0.00,가빌리오,,,0.00
296,,,,,,,김정빈,0.0,7.79,강태경,,,0.00
297,,,,,,,이승호,0.0,11.70,차우찬,,,0.00
298,,,,,,,김진욱,0.0,4.91,스미스,,,0.00
299,,,,,,,노경은,9.1,6.75,남지민,,,0.00
300,,,,,,,김현수,0.0,5.75,김진호,,,0.00
301,,,,,,,김유신,0.0,5.54,양선률,,,0.00
302,,,,,,,이승민,9.1,5.55,조병현,,,0.00
303,,,,,,,이민우,8.3,4.05,허윤동,,,0.00
304,,,,,,,장시환,6.3,2.69,구준범,,,0.00
305,,,,,,,오원석,23.8,6.13,김정빈,,,0.00
306,,,,,,,유희관,20.0,6.57,이승민,,,0.00
307,,,,,,,이영하,9.1,6.40,유희관,,,0.00
