,이름,팀,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2루,피3루,피홈런,볼넷,고의사구,사구,탈삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,birth,pid
134,문경찬,21N,35,0,0,0,0,1,0,4,31.0,20,17,142,25,6,0,6,20,1,0,25,0,1,4.94,6.07,1.45,92.0,74.8,0.13,-0.19,1992-07-08,20094
186,문대원,21두,2,0,0,0,0,0,0,0,1.1,1,1,9,2,0,0,1,2,0,0,1,0,0,6.75,16.08,3.00,63.9,25.8,0.00,0.00,1998-08-22,20095
158,문동욱,21한,1,0,0,0,0,0,0,0,1.1,0,0,6,1,0,0,0,1,0,0,2,0,0,0.00,2.58,1.50,,172.9,0.06,0.00,1992-01-07,20096
176,문성현,21키,4,0,0,0,0,0,0,0,3.1,2,2,18,3,2,0,0,6,0,0,3,0,1,5.40,6.93,2.70,82.1,63.4,0.02,-0.01,1991-11-09,20097
54,문승원,21S,9,0,0,9,2,2,0,0,50.1,20,16,212,42,14,0,1,18,0,2,32,0,1,2.86,3.51,1.19,156.8,127.9,1.33,0.31,1989-11-28,20098
107,문용익,21삼,22,0,0,0,2,0,0,2,22.0,11,11,98,21,3,0,3,10,0,1,19,0,4,4.50,4.88,1.41,100.3,93.0,0.31,0.28,1995-02-04,20099
0,미란다,21두,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21,1,11,63,0,1,225,1,7,2.33,2.67,1.14,185.0,161.1,7.10,3.27,1989-01-10,20100
138,박건우,21K,3,0,0,0,0,0,0,0,3.0,0,0,11,2,0,0,0,1,0,1,3,0,0,0.00,3.33,1.00,,135.1,0.13,0.01,1998-06-03,20101
273,박관진,21키,2,0,0,0,0,0,0,0,0.2,9,6,12,5,1,0,0,3,0,1,0,0,0,81.00,21.33,12.00,5.5,20.8,-0.37,-0.05,1997-03-26,20102
76,박민호,21S,40,0,0,0,4,0,0,5,41.0,18,18,177,45,5,0,3,11,0,4,19,0,0,3.95,4.45,1.37,113.6,101.5,0.82,0.16,1992-02-25,20103
149,박선우,21롯,1,0,0,0,0,0,0,0,2.0,0,0,9,1,0,0,0,0,0,2,1,0,0,0.00,5.33,0.50,,84.3,0.08,0.00,1997-07-12,20104
11,박세웅,21롯,28,1,1,28,10,9,0,0,163.0,75,72,685,141,24,0,20,53,0,10,125,0,17,3.98,4.55,1.19,114.3,98.1,4.01,-0.23,1995-11-30,20105
219,박세웅,21삼,4,0,0,0,0,0,0,0,3.0,4,3,18,5,0,1,1,3,0,1,2,0,0,9.00,10.33,2.67,50.2,44.2,-0.11,-0.10,1996-05-10,20106
157,박승주,21키,3,0,0,0,0,0,0,0,4.1,2,2,18,3,1,0,0,3,0,0,1,0,0,4.15,4.95,1.39,106.7,89.4,0.06,-0.00,1994-02-12,20107
58,박시영,21K,48,0,0,0,3,3,0,12,45.0,16,12,180,30,2,0,4,15,2,1,51,0,5,2.40,3.16,1.00,187.1,141.1,1.23,-0.07,1989-03-10,20108
165,박웅,21두,10,0,0,0,0,0,0,0,11.2,7,7,49,12,1,1,0,4,0,3,7,0,0,5.40,3.93,1.37,79.9,112.5,0.04,-0.02,1997-11-12,20109
239,박재민,21롯,5,0,0,0,0,0,0,0,2.2,5,5,13,3,1,0,1,2,0,0,2,0,0,16.88,8.96,1.88,26.9,49.9,-0.17,-0.03,2001-08-27,20110
285,박정수,21N두,12,0,0,5,3,3,0,0,30.1,27,25,143,38,9,0,5,14,0,3,26,0,2,7.42,5.44,1.71,59.8,80.9,-0.49,-1.02,1996-01-29,20111
254,박종기,21두,22,0,0,5,0,4,0,0,59.2,42,38,274,69,10,1,3,29,0,3,33,0,3,5.73,4.49,1.64,75.3,97.3,-0.22,-1.66,1995-01-21,20112
45,박종훈,21S,9,0,0,9,4,2,0,0,54.1,19,17,222,40,7,0,2,17,0,7,41,2,0,2.82,3.63,1.05,159.3,124.6,1.61,1.02,1991-08-13,20113
