,날짜,best,best_birth,worst,worst_birth
0,08-15,켈리,1989-10-04,스트레일리,1988-12-01
1,08-15,요키시,1989-07-29,로켓,1994-05-03
2,08-15,이창진,1991-03-04,임기영,1993-04-16
3,08-15,강백호,1999-07-29,이승현,2002-05-19
4,08-15,이성곤,1992-03-25,정우람,1985-06-01
0,08-14,문보경,2000-07-19,김대유,1991-05-08
1,08-14,정찬헌,1990-01-26,양석환,1991-07-15
2,08-14,김강민,1982-09-13,정해영,2001-08-23
3,08-14,쿠에바스,1990-10-14,최채흥,1995-01-22
4,08-14,백용환,1989-03-20,장시환,1987-11-01
0,08-13,박세웅,1995-11-30,김현수,1988-01-12
1,08-13,양석환,1991-07-15,이승호,1999-02-08
2,08-13,최형우,1983-12-16,가빌리오,1990-05-22
3,08-13,장성우,1990-01-17,우규민,1985-01-21
4,08-13,이재학,1990-10-04,김민우,1995-07-25
0,08-12,이용규,1985-08-26,박시영,1989-03-10
1,08-12,백정현,1987-07-13,곽빈,1999-05-28
2,08-12,이대호,1982-06-21,진명호,1989-03-20
0,08-11,홍창기,1993-11-21,오원석,2001-04-23
1,08-11,최원태,1997-01-07,소형준,2001-09-16
2,08-11,박계범,1996-01-11,이영하,1997-11-01
3,08-11,최재훈,1989-08-27,정해영,2001-08-23
4,08-11,양의지,1987-06-05,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
0,08-10,켈리,1989-10-04,이흥련,1989-05-16
1,08-10,요키시,1989-07-29,호잉,1989-05-18
2,08-10,박찬호,1995-06-05,김범수,1995-10-03
3,08-10,스트레일리,1988-12-01,박준영,1997-08-05
